"","Th2","Th4","Th12","Th13","Th15","Th16","Th18","Th20"
"Th2",0,307.594425730888,87.872622105789,291.163901859122,353.60837846155,373.892290572646,539.367719991147,1331.37951325667
"Th4",307.594425730888,0,244.596331445576,17.8669632917167,68.411955412579,545.387789794458,379.728577169979,1023.92058151595
"Th12",87.872622105789,244.596331445576,0,227.001510708943,300.577087160229,448.034925868726,533.522405728124,1264.94905526533
"Th13",291.163901859122,17.8669632917167,227.001510708943,0,84.3830251901944,537.721527457048,390.346456592215,1040.67119714747
"Th15",353.60837846155,68.411955412579,300.577087160229,84.3830251901944,0,545.424768018604,318.918298648458,981.665756778771
"Th16",373.892290572646,545.387789794458,448.034925868726,537.721527457048,545.424768018604,0,494.611628418422,1469.24791681149
"Th18",539.367719991147,379.728577169979,533.522405728124,390.346456592215,318.918298648458,494.611628418422,0,996.049638168263
"Th20",1331.37951325667,1023.92058151595,1264.94905526533,1040.67119714747,981.665756778771,1469.24791681149,996.049638168263,0
